,species,avg_score,clim_match,batch
595,Myriophyllum_heterophyllum,1.569914795,Medium,1981_2010
238,Myriophyllum_heterophyllum,0.605946159,Low,2011_2040
513,Myriophyllum_spicatum,1.919403947,Medium,1981_2010
596,Mysis_relicta,0.834248231,Low,1981_2010
239,Mysis_relicta,0.166845112,Low,2011_2040
514,Mytilopsis_leucophaeata,0.991472961,Low,1981_2010
515,Najas_marina,0.531832195,Low,1981_2010
516,Najas_minor,1.974029582,Medium,1981_2010
240,Nassella_neesiana,0.00025741,Low,2011_2040
597,Nasturtium_microphyllum,0.868946748,Low,1981_2010
241,Nasturtium_microphyllum,0.267868499,Low,2011_2040
242,Nasturtium_sterile,0.00241395,Low,2011_2040
243,Neogobius_fluviatilis,0.020410639,Low,2011_2040
517,Neogobius_melanostomus,2.571523368,High,1981_2010
244,Nepeta_racemosa,0.170793491,Low,2011_2040
245,Neyraudia_reynaudiana,0.00187826,Low,2011_2040
246,Nicandra_physalodes,0.389247461,Low,2011_2040
247,Nicotiana_tabacum,0.057186678,Low,2011_2040
518,Nitellopsis_obtusa,1.951298603,Medium,1981_2010
248,Nothoscordum_bivalve,0.00503872,Low,2011_2040
249,Nothoscordum_borbonicum,0.000506171,Low,2011_2040
598,Nuphar_pumila,2.985576307,High,1981_2010
250,Nuphar_pumila,1.6316096,Medium,2011_2040
251,Nymphaea_tetragona,2.157984434,High,2011_2040
252,Oenothera_flava,0.450325083,Low,2011_2040
599,Oenothera_parviflora,3.166855105,High,1981_2010
253,Oenothera_parviflora,1.365599764,Medium,2011_2040
600,Oncorhynchus_tshawytscha,1.94541793,Medium,1981_2010
254,Oncorhynchus_tshawytscha,1.782563765,Medium,2011_2040
255,Ononis_natrix,0.133253229,Low,2011_2040
256,Ophrys_insectifera,0.264360917,Low,2011_2040
257,Opuntia_ficus-indica,0.000981688,Low,2011_2040
258,Opuntia_humifusa,0.095283859,Low,2011_2040
259,Opuntia_macrorhiza,0.270283503,Low,2011_2040
260,Ornithopus_compressus,0.017144195,Low,2011_2040
261,Orobanche_crenata,0.002278188,Low,2011_2040
262,Orobanche_hederae,0.017172995,Low,2011_2040
263,Orontium_aquaticum,0.037418187,Low,2011_2040
264,Oryza_rufipogon,0.000337534,Low,2011_2040
265,Osmerus_eperlanus,0.125144907,Low,2011_2040
266,Oxalis_articulata,0.011075795,Low,2011_2040
267,Oxalis_latifolia,0.004285284,Low,2011_2040
268,Oxalis_pes-caprae,0.007185564,Low,2011_2040
269,Oxalis_triangularis,0.028271627,Low,2011_2040
270,Oxychilus_cellarius,0.2195287,Low,2011_2040
601,Pacifastacus_leniusculus,2.041316565,High,1981_2010
271,Pacifastacus_leniusculus,0.117325972,Low,2011_2040
272,Paederia_foetida,0.000210205,Low,2011_2040
273,Paeonia_mascula,0.004385463,Low,2011_2040
274,Palaemon_longirostris,3.77E-05,Low,2011_2040
275,Papaver_radicatum,2.759099282,High,2011_2040
276,Parapholis_strigosa,0.001251171,Low,2011_2040
277,Parietaria_judaica,0.086075635,Low,2011_2040
278,Parietaria_pensylvanica,1.510913596,Medium,2011_2040
279,Paspalum_conjugatum,0.00011044,Low,2011_2040
602,Paspalum_distichum,1.219087424,Medium,1981_2010
280,Paspalum_distichum,0.015464083,Low,2011_2040
281,Paspalum_notatum,8.96E-07,Low,2011_2040
282,Paspalum_urvillei,5.24E-05,Low,2011_2040
283,Paspalum_vaginatum,0.000866683,Low,2011_2040
284,Pentaglottis_sempervirens,0.018189091,Low,2011_2040
285,Pentas_lanceolata,0.004600811,Low,2011_2040
519,Perca_fluviatilis,1.224631175,Medium,1981_2010
286,Pericallis_hybrida,0.013346108,Low,2011_2040
287,Petrorhagia_prolifera,0.161809959,Low,2011_2040
288,Phacelia_ciliata,0.003251384,Low,2011_2040
289,Phedimus_aizoon,1.426058483,Medium,2011_2040
290,Philadelphus_pubescens,0.103025736,Low,2011_2040
603,Phormium_tenax,1.382965197,Medium,1981_2010
291,Phormium_tenax,0.000930227,Low,2011_2040
520,Phoxinus_phoxinus,2.251726688,High,1981_2010
292,Phyllostachys_nigra,0.01222726,Low,2011_2040
293,Physalis_angulata,0.002388505,Low,2011_2040
294,Physalis_longifolia,0.179552658,Low,2011_2040
604,Piaractus_brachypomus,0.815208905,Low,1981_2010
295,Piaractus_brachypomus,0.09403474,Low,2011_2040
296,Picris_pauciflora,0.004261206,Low,2011_2040
605,Pimephales_promelas,2.542281547,High,1981_2010
297,Pimephales_promelas,2.888135443,High,2011_2040
298,Pimpinella_major,0.167894583,Low,2011_2040
299,Pimpinella_saxifraga,1.534574006,Medium,2011_2040
521,Pisidium_amnicum,1.108006262,Medium,1981_2010
300,Plantago_patagonica,0.764385011,Low,2011_2040
301,Poa_angustifolia,2.469628089,High,2011_2040
302,Poa_supina,1.589923153,Medium,2011_2040
303,Polycarpon_tetraphyllum,0.018252272,Low,2011_2040
606,Polydora_cornuta,2.424885321,High,1981_2010
304,Polydora_cornuta,0.10146981,Low,2011_2040
305,Polygonum_arenarium,0.053132617,Low,2011_2040
306,Polygonum_bistorta,0.105221416,Low,2011_2040
307,Polygonum_plebeium,0.000600513,Low,2011_2040
607,Polygonum_ramosissimum,2.278404234,High,1981_2010
308,Polygonum_ramosissimum,1.073274418,Medium,2011_2040
608,Polypogon_monspeliensis,0.137374306,Low,1981_2010
309,Polypogon_monspeliensis,0.602854393,Low,2011_2040
609,Pomoxis_annularis,1.716238696,Medium,1981_2010
310,Pomoxis_annularis,0.615189445,Low,2011_2040
610,Pomoxis_nigromaculatus,2.537920176,High,1981_2010
311,Pomoxis_nigromaculatus,1.034199876,Medium,2011_2040
312,Potamocorbula_amurensis,0.000889972,Low,2011_2040
611,Potamogeton_compressus,0.846299477,Low,1981_2010
313,Potamogeton_compressus,1.133950355,Medium,2011_2040
522,Potamogeton_crispus,1.714313105,Medium,1981_2010
523,Potamopyrgus_antipodarum,1.657345092,Medium,1981_2010
314,Potamothrix_bavaricus,0.000607209,Low,2011_2040
612,Potamothrix_vejdovskyi,0.51627242,Low,1981_2010
315,Potamothrix_vejdovskyi,0.053489854,Low,2011_2040
316,Potentilla_pensylvanica,2.802190049,High,2011_2040
317,Potentilla_supina,1.34618365,Medium,2011_2040
318,Primula_elatior,1.550211908,Medium,2011_2040
613,Proasellus_coxalis,0.415052798,Low,1981_2010
319,Proasellus_coxalis,0.00395576,Low,2011_2040
524,Procambarus_clarkii,0.622552957,Low,1981_2010
525,Proterorhinus_semilunaris,1.239853691,Medium,1981_2010
614,Prunella_laciniata,1.244202842,Medium,1981_2010
320,Prunella_laciniata,0.046288364,Low,2011_2040
321,Prymnesium_parvum,0.005097292,Low,2011_2040
322,Pseudopolydora_paucibranchiata,0.006592656,Low,2011_2040
526,Pseudorasbora_parva,0.295949645,Low,1981_2010
323,Psidium_cattleianum,5.05E-07,Low,2011_2040
324,Psidium_guajava,0.003778304,Low,2011_2040
325,Puccinellia_hauptiana,2.532196015,High,2011_2040
326,Puccinellia_nuttalliana,3.505355112,High,2011_2040
615,Pulicaria_dysenterica,2.036691578,High,1981_2010
327,Pulicaria_dysenterica,0.036091906,Low,2011_2040
328,Pulsatilla_vulgaris,0.04271803,Low,2011_2040
527,Pylodictis_olivaris,0.926729164,Low,1981_2010
528,Radix_auricularia,1.987968484,Medium,1981_2010
329,Ranunculus_gramineus,0.032807911,Low,2011_2040
330,Raphanus_sativus,0.516919298,Low,2011_2040
331,Reseda_alba,0.017344608,Low,2011_2040
332,Reseda_luteola,0.074197787,Low,2011_2040
333,Retama_monosperma,5.69E-05,Low,2011_2040
616,Rhithropanopeus_harrisii,0.183089504,Low,1981_2010
334,Rhithropanopeus_harrisii,0.009185966,Low,2011_2040
529,Rhodeus_amarus,0.728736531,Low,1981_2010
335,Rhodeus_ocellatus,1.03E-05,Low,2011_2040
336,Ricinus_communis,0.039567362,Low,2011_2040
617,Rorippa_austriaca,2.082665079,High,1981_2010
337,Rorippa_austriaca,0.167496624,Low,2011_2040
618,Rorippa_curvisiliqua,1.175719489,Medium,1981_2010
338,Rorippa_curvisiliqua,0.487018659,Low,2011_2040
339,Rosa_arvensis,0.051847291,Low,2011_2040
340,Rosa_micrantha,0.0768537,Low,2011_2040
341,Rosa_setigera,0.084229039,Low,2011_2040
619,Rotala_ramosior,0.251953283,Low,1981_2010
342,Rotala_ramosior,0.082520362,Low,2011_2040
343,Rubus_fruticosus,0.05573653,Low,2011_2040
344,Rudbeckia_triloba,0.113830738,Low,2011_2040
345,Rumex_brownii,0.000100866,Low,2011_2040
346,Rumex_bucephalophorus,0.002232504,Low,2011_2040
347,Rumex_confertus,0.455476186,Low,2011_2040
348,Rumex_crispus,2.018098167,High,2011_2040
349,Rumex_cristatus,0.001910858,Low,2011_2040
620,Rumex_thyrsiflorus,0.998500781,Low,1981_2010
350,Rumex_thyrsiflorus,1.31740729,Medium,2011_2040
530,Rutilus_rutilus,1.10045988,Medium,1981_2010
351,Sagina_saginoides,2.096576285,High,2011_2040
621,Sagittaria_lancifolia,1.196856656,Medium,1981_2010
352,Sagittaria_lancifolia,0.001509761,Low,2011_2040
